geometry,long_,issue_date,vehicle_ma,badge_numb,street_nam,objectid,issue_full,plate_type,route,license_st,comment_,vehicle_co,ticket_loc,lat,issue_time,violation_,violation1,vehicle_st,street_num,issue_agen,fine_amt
POINT (-71.1324 42.2505),-71.1324,2015-02-27T00:00:00.000Z,CHEV,166,CHARLES ST,4592,2015-02-27T16:51:00.000Z,CO,A09,MA,,7,28 CHARLES ST,42.2505,1899-12-30T11:51:00.000Z,92,METER FEE UNPAID,2D,28,1,25
POINT (-71.1324 42.2505),-71.1324,2015-02-26T00:00:00.000Z,HOND,166,CHARLES ST,4593,2015-02-26T18:16:00.000Z,PA,A09,MA,,8,28 CHARLES ST,42.2505,1899-12-30T13:16:00.000Z,92,METER FEE UNPAID,4D,28,1,25
POINT (-71.038 42.3708),-71.038,2015-02-27T00:00:00.000Z,NISS,202,CHELSEA ST,4594,2015-02-27T16:40:00.000Z,PA,EB,MA,,8,28 CHELSEA ST,42.3708,1899-12-30T11:40:00.000Z,329,OVER POST LIM-ZONE B,4D,28,1,25
POINT (-71.0583 42.3236),-71.0583,2015-02-23T00:00:00.000Z,HYUN,218,DORSET ST,4597,2015-02-23T16:33:00.000Z,PA,DOR,MA,,1,28 DORSET ST,42.3236,1899-12-30T11:33:00.000Z,63,RESIDENT PARK ONLY,4D,28,1,40
POINT (-71.061 42.352),-71.061,2015-02-24T00:00:00.000Z,ACUR,142,HARRISON AVE,4602,2015-02-24T15:49:00.000Z,PA,A20,MA,,7,28 HARRISON AVE,42.352,1899-12-30T10:49:00.000Z,86,OVER POSTED LIMIT,4D,28,1,25
POINT (-71.0633 42.3725),-71.0633,2015-02-25T00:00:00.000Z,JEEP,117,HARVARD ST,4603,2015-02-26T00:37:00.000Z,PA,CHAS,MA,,4,28 HARVARD ST,42.3725,1899-12-30T19:37:00.000Z,63,RESIDENT PARK ONLY,2D,28,1,40
POINT (-71.1547 42.3502),-71.1547,2015-02-26T00:00:00.000Z,HOND,370,LEICESTER ST,4604,2015-02-26T06:06:00.000Z,PA,F04,MA,EXP: 06/14,1,28 LEICESTER ST,42.3502,1899-12-30T01:06:00.000Z,322,EXPIRED/NO PLATE,4D,28,1,40
POINT (-71.0615 42.3746),-71.0615,2015-02-27T00:00:00.000Z,AUDI,293,SOLEY ST,4607,2015-02-27T21:18:00.000Z,PA,CHAS,MA,,8,28 SOLEY ST,42.3746,1899-12-30T16:18:00.000Z,63,RESIDENT PARK ONLY,4D,28,1,40
POINT (-71.1086 42.3309),-71.1086,2015-02-28T00:00:00.000Z,TOYT,276,SUNSET ST,4608,2015-02-28T18:53:00.000Z,PA,D05,MA,,8,28 SUNSET ST,42.3309,1899-12-30T13:53:00.000Z,63,RESIDENT PARK ONLY,4D,28,1,40
POINT (-71.0873 42.3433),-71.0873,2015-02-25T00:00:00.000Z,CHEV,179,WESTLAND AVE,4609,2015-02-25T18:02:00.000Z,CO,D04,MA,,7,28 WESTLAND AVE,42.3433,1899-12-30T13:02:00.000Z,93,DOUBLE PARK ZONE A,VN,28,1,45
POINT (-71.0812 42.3534),-71.0812,2015-02-28T00:00:00.000Z,JEEP,215,BEACON ST,4610,2015-03-01T01:44:00.000Z,,B01,RI,,1,280 BEACON ST,42.3534,1899-12-30T20:44:00.000Z,63,RESIDENT PARK ONLY,4D,280,1,40
POINT (-71.068 42.361),-71.068,2015-02-25T00:00:00.000Z,NISS,248,CAMBRIDGE ST,4611,2015-02-25T17:04:00.000Z,PA,A07,MA,,4,280 CAMBRIDGE ST,42.361,1899-12-30T12:04:00.000Z,99,OVER METER LIMIT,4D,280,1,25
POINT (-71.068 42.361),-71.068,2015-02-27T00:00:00.000Z,TOYT,248,CAMBRIDGE ST,4612,2015-02-27T14:59:00.000Z,PA,A07,MA,,7,280 CAMBRIDGE ST,42.361,1899-12-30T09:59:00.000Z,99,OVER METER LIMIT,4D,280,1,25
POINT (-71.0546 42.3639),-71.0546,2015-02-26T00:00:00.000Z,LEXU,192,HANOVER ST,4621,2015-02-26T16:19:00.000Z,PA,A03,MA,,7,280 HANOVER ST,42.3639,1899-12-30T11:19:00.000Z,38,LOADING ZONE,4D,280,1,55
POINT (-71.0546 42.3639),-71.0546,2015-02-25T00:00:00.000Z,JEEP,265,HANOVER ST,4622,2015-02-25T18:16:00.000Z,CO,A01,MA,1 HR LIMIT,8,280 HANOVER ST,42.3639,1899-12-30T13:16:00.000Z,86,OVER POSTED LIMIT,4D,280,1,25
POINT (-71.0546 42.3639),-71.0546,2015-02-24T00:00:00.000Z,CHEV,348,HANOVER ST,4623,2015-02-25T03:00:00.000Z,PA,A01,MA,EXP: 01/15,8,280 HANOVER ST,42.3639,1899-12-30T22:00:00.000Z,323,EXPIRED INSPECTION,4D,280,1,40
POINT (-71.069 42.3429),-71.069,2015-02-26T00:00:00.000Z,SUBA,239,SHAWMUT AVE,4632,2015-02-26T17:19:00.000Z,PA,E07,MA,,8,280 SHAWMUT AVE,42.3429,1899-12-30T12:19:00.000Z,86,OVER POSTED LIMIT,4D,280,1,25
POINT (-71.069 42.3429),-71.069,2015-02-26T00:00:00.000Z,ACUR,239,SHAWMUT AVE,4633,2015-02-26T17:20:00.000Z,PA,E07,MA,,8,280 SHAWMUT AVE,42.3429,1899-12-30T12:20:00.000Z,86,OVER POSTED LIMIT,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-24T00:00:00.000Z,HOND,104,SUMMER ST,4634,2015-02-24T22:27:00.000Z,PA,A17,MA,4 HR PARKING,8,280 SUMMER ST,42.3503,1899-12-30T17:27:00.000Z,99,OVER METER LIMIT,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-26T00:00:00.000Z,SUBA,104,SUMMER ST,4635,2015-02-26T20:15:00.000Z,PA,A17,MA,,3,280 SUMMER ST,42.3503,1899-12-30T15:15:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-27T00:00:00.000Z,NISS,104,SUMMER ST,4636,2015-02-27T17:40:00.000Z,CO,A17,MA,,7,280 SUMMER ST,42.3503,1899-12-30T12:40:00.000Z,92,METER FEE UNPAID,VN,280,1,25
